-6.076682,3.725948,이야기
-4.366368,5.194121,교육
-7.338778,3.392156,사다
-4.058982,5.119409,경제
-3.61668,0.815175,아직
-7.58636,2.923116,잡다
-5.472476,0.732129,같이
-5.377003,5.101406,선생님
-4.530938,5.072852,예술
-7.65796,2.850415,서다
-5.559176,1.268427,못
-3.754349,4.537655,역사
-7.387034,1.790865,읽다
-2.952972,1.123003,이제
-3.158342,2.574782,결과
-5.026859,3.820578,내용
-3.033869,0.62277,물론
-2.480648,2.991943,동안
-5.795063,3.770921,책
-5.385356,1.59927,일어나다
-3.581977,3.913062,당신
-3.749362,4.394344,시장
-7.643576,2.604885,넣다
-4.254388,0.338567,중요하다
-3.364796,1.385674,무슨
-7.265452,2.062622,느끼다
-3.681922,0.197121,어렵다
-6.141151,3.341457,힘
-4.081987,-0.266408,너무
-3.42038,4.116998,나라
-6.556077,2.594886,부르다
-5.966865,2.889018,의미
-6.214482,1.123754,자리
-6.527109,1.673269,밝히다
-6.808711,2.954737,죽다
-3.921687,1.170278,이미
-3.684096,1.765306,쪽
-4.011833,5.201097,정치
-3.378169,4.255948,국민
-4.43707,5.309112,생명
-2.443247,0.896846,얘기
-5.1371,5.146422,학생
-4.229168,3.676673,연구
-6.329512,4.748536,엄마
-4.82111,3.943945,이름
-5.599456,2.730628,하나
-5.781462,1.494443,내리다
-3.041895,2.381579,사건
-4.310415,3.876748,및
-3.558617,0.236767,쉽다
-6.862075,1.649493,짓다
-2.826344,0.332792,또한
-5.349904,0.42552,이유
-3.754816,3.183367,또는
-4.400314,0.511168,필요하다
-5.112987,2.267612,글
-5.886689,1.02308,생기다
-7.133529,1.465821,사용하다
-6.492567,4.9042,남편
-6.158762,1.243149,들어오다
-4.952758,4.971803,밖
-5.015493,2.831633,세상
-3.393537,-0.545932,작다
-7.363358,2.808478,타다
-5.017286,4.804033,대학
-5.24545,4.335335,작품
-4.033272,2.407846,상황
-4.26745,2.906791,가운데
-6.944372,2.157272,보내다
-6.438339,1.702797,두다
-3.756672,2.745564,즉
-3.198871,0.615105,따라서
-4.299479,2.686095,상태
-3.232196,2.421701,이후
-2.942655,2.015176,당시
-5.127057,4.580141,문학
-4.321326,-1.348871,더욱
-4.102644,-0.298261,아주
-3.736983,4.331113,지방
-1.857442,1.017198,밤
-3.21048,-0.586936,높다
-3.052038,1.490754,최근
-3.727801,2.492865,채
-3.777842,3.464166,현실
-4.423998,5.288958,환경
-4.4898,4.463936,컴퓨터
-3.97753,0.785833,먼저
-6.214763,1.26044,다니다
-3.746558,1.312966,얼마나
-4.653202,3.097887,자체
-7.089026,1.836484,열다
-7.07897,3.42214,머리
-7.44843,2.175857,묻다
-5.746029,2.234609,남다
-4.27135,2.668828,부분
-4.092835,4.57185,기업
-2.643533,1.37264,거기
-5.727439,3.122334,변화
-6.451289,4.833333,아들
-6.602395,2.702443,뜻
-2.415259,1.378781,아
-5.886742,1.887862,기다리다
-5.321536,1.590208,떨어지다
-2.950677,3.645336,선거
-4.767834,2.236623,관하다
-3.109291,1.074872,그냥
-6.97002,1.882746,나누다
-6.129166,1.348302,이용하다
-4.727518,1.572116,거의
-3.537299,0.931525,곧
-2.869067,2.681911,중심
-4.551076,3.039366,활동
-2.011158,1.122902,오늘
-3.791558,1.981682,서로
-5.69429,2.886506,관심
-3.223535,2.119794,역시
-2.380406,0.96765,이거
-6.555375,3.493223,애
-4.636054,4.41853,광고
-5.975219,0.942878,나다
-5.246794,3.479899,방
-5.772008,2.862314,정신
-3.37492,0.420714,이르다
-3.042921,2.66254,땅
-6.695531,2.139591,이루다
-1.820727,0.974437,아침
-6.932071,3.143554,웃다
-5.050497,3.26386,현상
-6.44994,1.656543,두다
-6.692931,1.738456,떠나다
-4.385374,4.774565,기술
-4.587583,2.654235,전체
-2.392505,1.126483,그래
-7.345598,2.549709,얻다
-1.826492,3.111589,분
-4.626846,0.803776,아름답다
-4.328885,2.220401,끝
-3.497716,4.52957,민족
-5.5632,2.629003,간
-4.151639,3.618043,조사
-4.696763,-0.252157,듯
-6.812315,3.512054,입
-2.357419,0.988626,뭐
-4.708936,2.032876,그대로
-4.918326,4.592184,영화
-4.392929,0.407741,필요
-2.681334,-0.6994,줄
-3.151793,1.891727,하늘
-2.297256,3.073964,년대
-4.231248,5.128569,과학
-3.71366,0.435108,듯하다
-4.494324,5.335043,자연
-4.147443,-0.099738,정말
-4.479537,3.444324,구조
-3.205011,0.754374,결국
-6.589112,3.688199,밥
-7.158768,2.933771,입다
-4.354067,1.088835,오히려
-4.558753,3.937429,프로그램
-1.294307,2.914439,네
-5.27806,1.436598,이루어지다
-3.859093,2.685507,남
-4.974338,2.066775,하루
-4.814317,2.761011,그림
-4.912763,3.3395,적
-5.368224,2.522832,터
-6.932477,3.900992,마시다
-7.276492,2.839307,치다
-4.908041,2.148019,혼자
-6.922341,1.082452,나가다
